1,InfoTech Ltda.,Franco da Rocha,enterprise.francodarocha@infotech.com,4H6FPV5Q/ANMR-83
2,EcoNew Ltda.,Barueri,enterprise.barueri@econew.com,JGBHNK2W/9BT5-38
3,PetsNew Ltda.,Piracicaba,enterprise.piracicaba@petsnew.com,PAT5KYE4/V1F1-62
4,PetsNext Ltda.,Campinas,enterprise.campinas@petsnext.com,RLKR8O9I/UT0S-34
5,AgroSmart Ltda.,Piracicaba,enterprise.piracicaba@agrosmart.com,3UP44YH7/ABEX-20
6,HealthServers Ltda.,Itapecerica da Serra,enterprise.itapecericadaserra@healthservers.com,F2R10TZZ/5R1Y-84
7,InfoServers Ltda.,Mogi das Cruzes,enterprise.mogidascruzes@infoservers.com,VS9CMNKT/WX16-46
8,HealthSolutions Ltda.,Sorocaba,enterprise.sorocaba@healthsolutions.com,AVG1M2DY/2GHR-23
9,BioTech Ltda.,Presidente Prudente,enterprise.presidenteprudente@biotech.com,5JPUPGX8/1021-02
10,FoodNova Ltda.,Araraquara,enterprise.araraquara@foodnova.com,KL3RLASK/D7E9-09
